TAG_NAME,AVG_RELEVANCE,MOVIES_TAGGED
Melancholy,0.2221610538,10381
Bittersweet,0.221617349,10381
Adventure,0.2215585589,10381
Silly,0.2215313265,10381
Overrated,0.2211705038,10381
Excellent,0.2200680185,10381
Moral Ambiguity,0.2191146036,10381
Visceral,0.2180582892,10381
Breathtaking,0.2176547635,10381
Cool,0.2173976014,10381
Art,0.217173779,10381
Shallow,0.2165956266,10381
Whimsical,0.2162421636,10381
Dreamlike,0.2162032656,10381
Emotional,0.2161106733,10381
Depression,0.2156790001,10381
Solitude,0.2148117715,10381
Better Than Expected,0.2145201618,10381
Humorous,0.2142576341,10381
Downbeat,0.2134832675,10381
Big Budget,0.2134055871,10381
Teen Movie,0.2132828051,10381
Earnest,0.2127233215,10381
Women,0.2125097678,10381
Forceful,0.2117858684,10381
Bleak,0.2110507466,10381
Guilt,0.210656353,10381
Thought-Provoking,0.20971811,10381
Masterpiece,0.2090834891,10381
Quotable,0.2072207687,10381
Books,0.2048714767,10381
Stylish,0.204541181,10381
Awesome Soundtrack,0.2041821019,10381
Character Study,0.2038710433,10381
Slapstick,0.2034058954,10381
Satirical,0.2024000771,10381
Action Packed,0.2023491378,10381
Alter Ego,0.2020750698,10381
Technology,0.2005433195,10381
Fast Paced,0.2003133031,10381
Highly Quotable,0.2002901936,10381
Franchise,0.1994485021,10381
Nostalgic,0.1993343512,10381
Suspenseful,0.1991699547,10381
Disturbing,0.1989505346,10381
Touching,0.1987047105,10381
Powerful Ending,0.1984277237,10381
Splatter,0.1978268182,10381
Tragedy,0.1972390714,10381
Inspirational,0.197194856,10381
Classic,0.195464647,10381
Hospital,0.1949626915,10381
Prejudice,0.1949209036,10381
Funny,0.1947911762,10381
Love,0.1943808593,10381
Scary,0.1933057027,10381
Queer,0.1932953376,10381
Family Drama,0.1922823524,10381
Distopia,0.1918438782,10381
British,0.1914381177,10381
Small Town,0.1902589442,10381
Manipulation,0.1901444755,10381
Insanity,0.1888160678,10381
Fantasy,0.1885128215,10381
Science Fiction,0.1884897312,10381
Psychology,0.1883706579,10381
Twist Ending,0.1881217513,10381
Paranoid,0.1876233985,10381
Mental Illness,0.1868260476,10381
Thriller,0.1865247857,10381
Computer Animation,0.1864785762,10381
California,0.1858708795,10381
Gritty,0.1856353627,10381
Artistic,0.1843284462,10381
Good Dialogue,0.1838304691,10381
Survival,0.183208294,10381
Doctors,0.1830682786,10381
Macabre,0.1830514016,10381
Realistic,0.1815388498,10381
Independent Film,0.1809601194,10381
Grim,0.1807606011,10381
Teen,0.1807343127,10381
Girlie Movie,0.1795669878,10381
Irish Accent,0.1789412581,10381
Assassination,0.1786962431,10381
Torture,0.1784563337,10381
Pulp,0.1770980156,10381
Bad Acting,0.1765231962,10381
Mad Scientist,0.1763751084,10381
Life,0.1754929583,10381
Ethnic Conflict,0.175380185,10381
Identity,0.1750514498,10381
New Jersey,0.1743003083,10381
Coming Of Age,0.1738380696,10381
Dreams,0.1729057894,10381
Gory,0.1720463732,10381
Intellectual,0.1709070995,10381
Black Comedy,0.1706543204,10381
Hotel,0.1704348136,10381
Based On A Play,0.170241287,10381
Dark,0.1700283884,10381
Road Movie,0.1700203834,10381
Poignant,0.1685242462,10381
Twist,0.1674059821,10381
Oscar (Best Foreign Language Film),0.1670978422,10381
Parallel Universe,0.1666466236,10381
Sentimental,0.1664860129,10381
Period Piece,0.165035931,10381
Nudity (Topless),0.1650063096,10381
Good Music,0.1642996436,10381
Surveillance,0.1642645699,10381
Crime,0.164262441,10381
Bloody,0.1638064252,10381
Ironic,0.1637709277,10381
Off-Beat Comedy,0.1623568057,10381
Courage,0.1622784606,10381
Tokyo,0.1616607649,10381
Stunning,0.1614827955,10381
Erotic,0.1611262595,10381
Camp,0.1607892592,10381
Plot Twist,0.1607491475,10381
1970s,0.1597151045,10381
Dark Humor,0.1589499759,10381
80s,0.1586911184,10381
Segregation,0.1583944225,10381
Amazing Photography,0.1581920046,10381
Based On True Story,0.1576532126,10381
Gay Character,0.1575691456,10381
Bullying,0.1563012138,10381
Race Issues,0.1560769868,10381
Foreign,0.1557604759,10381
Hilarious,0.1549137174,10381
Heartwarming,0.1543543493,10381
Plot Holes,0.1540292939,10381
Scenic,0.1539315769,10381
Complicated,0.1538065793,10381
Alternate History,0.1531210095,10381
Great Soundtrack,0.1528813987,10381
Internet,0.1527432232,10381
Conspiracy,0.1524933532,10381
Superheroes,0.1519477603,10381
Morality,0.1516813794,10381
Intelligent,0.1506927367,10381
Exciting,0.1502038917,10381
Satire,0.1498660919,10381
Cynical,0.1491806088,10381
Series,0.1490931798,10381
Investigation,0.1490229072,10381
Colourful,0.1488514787,10381
Censorship,0.1482319237,10381
Sweet,0.1477892978,10381
Philosophy,0.1477747231,10381
Spying,0.1474282246,10381
Humor,0.1468776804,10381
Teens,0.1468674598,10381
Oscar (Best Effects - Visual Effects),0.1466134862,10381
Brothers,0.145532704,10381
Nudity (Topless - Brief),0.1452917445,10381
Scifi,0.1451782391,10381
Simple,0.1451490223,10381
Paranoia,0.1448626337,10381
Fighting The System,0.1446332242,10381
Adultery,0.1444054041,10381
Photography,0.1443246893,10381
Special,0.1439513342,10381
Children,0.14392651,10381
Anti-Hero,0.1439055197,10381
Disaster,0.1430212889,10381
Imagination,0.1428709566,10381
Dark Comedy,0.142167479,10381
Gangs,0.1418954532,10381
Brainwashing,0.1418888643,10381
Memory,0.1412520952,10381
Police Corruption,0.1411964262,10381
Eccentricity,0.141183807,10381
Meditative,0.1407244678,10381
Brutal,0.1400462383,10381
Alternate Reality,0.1400109334,10381
Demons,0.1396796937,10381
Idiotic,0.1396365572,10381
Oscar (Best Writing - Screenplay Written Directly For The Screen),0.139469502,10381
Good Versus Evil,0.1385084289,10381
Oscar (Best Supporting Actor),0.1377829882,10381
Ensemble Cast,0.1376173394,10381
1930s,0.1375103073,10381
London,0.1374797033,10381
Adolescence,0.1374552837,10381
Stoner Movie,0.1372172912,10381
Farce,0.1366209517,10381
Claustrophobic,0.1365407572,10381
Self Discovery,0.1364794625,10381
Humanity,0.1364750602,10381
Great Cinematography,0.1353155284,10381
Parenthood,0.134356247,10381
Blindness,0.1338031693,10381
Oscar (Best Cinematography),0.1336934399,10381
Cult,0.1336410269,10381
Historical,0.1334717079,10381
True Story,0.1332911088,10381
Beautiful,0.1332703111,10381
Murder Mystery,0.1314197572,10381
Island,0.1313330989,10381
Creepy,0.1312333109,10381
Underdog,0.1309638474,10381
Cute,0.1308488585,10381
Horrible,0.1304566323,10381
Philosophical,0.1304167325,10381
Stupidity,0.1304083711,10381
Hitman,0.1303011367,10381
Politics,0.1300044504,10381
Teacher,0.129311049,10381
School,0.1291627878,10381
Alternate Endings,0.1291428957,10381
Literature,0.1286030633,10381
Script,0.1282194972,10381
Divorce,0.1282183894,10381
Bad Cgi,0.1280317985,10381
Compassionate,0.1274675079,10381
Dynamic Cgi Action,0.127317166,10381
Boring,0.1272558617,10381
Us History,0.1266989404,10381
Surrealism,0.126221915,10381
Black And White,0.1260448897,10381
Nudity (Rear),0.1259306329,10381
Long,0.1255090261,10381
Islam,0.1254485888,10381
Addiction,0.1253501204,10381
Funny As Hell,0.1252904826,10381
Sexual,0.1251579135,10381
Indians,0.1249354879,10381
Complex Characters,0.1242871496,10381
Amazing Cinematography,0.1242550236,10381
Wilderness,0.1241953569,10381
Romantic Comedy,0.1241769772,10381
Suburbia,0.1238701089,10381
Marriage,0.1235690107,10381
Wartime,0.1235029092,10381
Political,0.1233822753,10381
Costume Drama,0.1233434351,10381
Animals,0.1230058569,10381
England,0.1229968693,10381
Tricky,0.1229213082,10381
Chick Flick,0.1219990463,10381
Heartbreaking,0.1219859166,10381
Prison,0.121741942,10381
Nonlinear,0.1214485984,10381
Too Long,0.1212224738,10381
Kidnapping,0.1211313168,10381
Campy,0.1203933725,10381
Indie,0.1203588961,10381
Directorial Debut,0.1201399191,10381
Fighting,0.1199078701,10381
Atheism,0.1196472498,10381
Workplace,0.1195077353,10381
Foul Language,0.1194893941,10381
Coming-Of-Age,0.1193371352,10381
Visuals,0.1187722474,10381
Film Noir,0.1181093247,10381
Revolution,0.1171306618,10381
Kids And Family,0.1171303921,10381
Slow,0.1170600039,10381
Comic,0.1169891051,10381
Adoption,0.1165350352,10381
Mythology,0.1158971294,10381
Afi 100 (Movie Quotes),0.1155827088,10381
Apocalypse,0.1154005394,10381
Sci-Fi,0.1146856372,10381
Serial Killer,0.1144032174,10381
Car Chase,0.1141872267,10381
Bad,0.114166352,10381
Blood,0.1140995184,10381
Mindfuck,0.1140194008,10381
No Plot,0.1137706676,10381
Ridiculous,0.1136041518,10381
Realistic Action,0.1134627396,10381
Supernatural,0.1134165784,10381
Sarcasm,0.1133412195,10381
Crazy,0.1131417205,10381
Modern Fantasy,0.1130780946,10381
Sad,0.1130268471,10381
Depressing,0.1127552741,10381
Mob,0.1126493112,10381
Dumb But Funny,0.1125645121,10381
New York City,0.1124875831,10381
Sad But Good,0.1122203738,10381
Effects,0.1120621424,10381
Horror,0.1120126288,10381
Ominous,0.111745275,10381
Lame,0.1117419324,10381
Stupid As Hell,0.1116527117,10381
Notable Nudity,0.1116315191,10381
1980s,0.1116196417,10381
Parody,0.111499894,10381
Immortality,0.1112632405,10381
Zombie,0.1111889413,10381
Interracial Romance,0.1107502167,10381
Drugs,0.1106923996,10381
Gratuitous Violence,0.1103634332,10381
Great Dialogue,0.1102228205,10381
Gangster,0.1101116848,10381
Eerie,0.1100649263,10381
Oscar (Best Actor),0.1100619304,10381
Factual,0.1099471342,10381
Low Budget,0.1098906078,10381
Sequels,0.10975538,10381
God,0.1097132935,10381
High School,0.1088800501,10381
Kids,0.1087315191,10381
Enormously Long Battle Scene,0.1082918023,10381
Biting,0.108054908,10381
Futuristic,0.1078207591,10381
Irreverent,0.1076254407,10381
Biographical,0.1072911762,10381
Android(S)/Cyborg(S),0.1072853482,10381
Sexual Abuse,0.1071833349,10381
Bollywood,0.107081495,10381
Race,0.1068007706,10381
Mystery,0.106796561,10381
Utopia,0.1063884019,10381
Rebellion,0.1062975532,10381
Assassin,0.105801156,10381
Based On A True Story,0.1056489548,10381
Cheating,0.1056050573,10381
End Of The World,0.1054573163,10381
Strange,0.1053811772,10381
Boring!,0.1050150275,10381
Monster,0.1043968982,10381
Crappy Sequel,0.1039216164,10381
Clones,0.1036350352,10381
High Fantasy,0.1034953473,10381
Music,0.1034491667,10381
Unlikeable Characters,0.1029076871,10381
Hit Men,0.1025134187,10381
Infidelity,0.1022388113,10381
Art House,0.1017250747,10381
Magic,0.1014982853,10381
Moody,0.1013531933,10381
Artist,0.101113833,10381
Buddy Movie,0.1008434544,10381
Stupid,0.1008021482,10381
Adapted From:Comic,0.1007204605,10381
Remake,0.1006541855,10381
Homeless,0.1005448415,10381
Lawyer,0.1002650226,10381
Perfect,0.09985205664,10381
Dark Fantasy,0.09982845583,10381
Bizarre,0.09973455351,10381
San Francisco,0.09962792602,10381
Complicated Plot,0.09947481938,10381
Kick-Butt Women,0.09926663135,10381
Screwball,0.09877454003,10381
Awful,0.09869789038,10381
Memory Loss,0.09788976977,10381
Father Daughter Relationship,0.09767794047,10381
Psychiatry,0.09757907716,10381
Gay,0.09743847414,10381
Suicide Attempt,0.09711683845,10381
Texas,0.09668783354,10381
Cute!,0.0962842886,10381
Biopic,0.09619778441,10381
Aging,0.0961963491,10381
New York,0.09577674598,10381
Cheesy,0.09556011945,10381
Future,0.09546326943,10381
Poetry,0.09523801175,10381
Los Angeles,0.09522233889,10381
Good Sequel,0.09507131298,10381
Nudity (Full Frontal),0.09484528465,10381
Finnish,0.09476602447,10381
Prison Escape,0.09475882863,10381
Great Music,0.09469593488,10381
Book Was Better,0.0944156536,10381
Silent,0.09434164339,10381
Road Trip,0.09414793373,10381
Controversial,0.09397284462,10381
Notable Soundtrack,0.09393021867,10381
Desert,0.09372297467,10381
Cancer,0.09341184857,10381
Dystopia,0.09333559387,10381
Made For Tv,0.09301898661,10381
Slow Paced,0.09246070706,10381
New Orleans,0.09205404104,10381
Goth,0.09196297081,10381
Radio,0.09166491667,10381
World Politics,0.09158065697,10381
Hip Hop,0.09143681726,10381
Fashion,0.09122601869,10381
1950s,0.09116294191,10381
Nudity,0.09112930354,10381
Writing,0.09107528176,10381
Time,0.09027852808,10381
Wine,0.0901615355,10381
Good Story,0.08985261535,10381
Product Placement,0.0897146903,10381
Stand-Up Comedy,0.0896587323,10381
Spanish,0.08958077257,10381
Trilogy,0.08940416145,10381
Nerds,0.08928470282,10381
French,0.08915091995,10381
Sequel,0.08873969752,10381
Inspiring,0.08798945188,10381
Pretentious,0.08789055004,10381
Bdsm,0.08744984106,10381
Spy,0.08743908101,10381
Oscar (Best Picture),0.08714883923,10381
Reality Tv,0.08700811097,10381
Philip K. Dick,0.08698188999,10381
Dystopic Future,0.08691529718,10381
Family Bonds,0.08690757152,10381
Tear Jerker,0.08656344283,10381
Dialogue Driven,0.08645389654,10381
Detective,0.0863926693,10381
Freedom,0.08595357865,10381
1920s,0.0858496484,10381
Musical,0.08572211733,10381
Jews,0.08550548117,10381
Guns,0.08546577401,10381
Drug Abuse,0.08535296214,10381
Too Short,0.08521654947,10381
Best Of 2005,0.08509156151,10381
History,0.08509106059,10381
Love Triangles,0.08504174935,10381
Hunting,0.0848477796,10381
Sex,0.08455622772,10381
Cathartic,0.08455261535,10381
Suicide,0.08444102688,10381
Vigilantism,0.08437450149,10381
Hard To Watch,0.08435111261,10381
War,0.08425389654,10381
Robert Downey Jr,0.08398268953,10381
Unrealistic,0.08381277334,10381
Book,0.08373731818,10381
Super Hero,0.08332493016,10381
Snakes,0.08290843849,10381
Science,0.08253446681,10381
Epic,0.08240957519,10381
Graphic Novel,0.08236561025,10381
Free To Download,0.08232036413,10381
Monsters,0.08224589153,10381
Religion,0.0821568057,10381
Animation,0.0821449186,10381
Capitalism,0.08210012523,10381
Vigilante,0.0819421154,10381
Potential Oscar Nom,0.08193216453,10381
Dumb,0.08163149986,10381
Journalism,0.0815155669,10381
Sexuality,0.08146891436,10381
Artsy,0.0814165302,10381
Prostitution,0.08136673731,10381
Fbi,0.08126569695,10381
Graphic Design,0.08119133031,10381
Spiders,0.08095266352,10381
Oil,0.08094008284,10381
Organized Crime,0.08091268664,10381
Drug Addiction,0.08079700414,10381
Noir,0.08076015798,10381
Amy Smart,0.08053987092,10381
Cold War,0.08050148348,10381
German,0.07981524901,10381
Magic Realism,0.07980527887,10381
Documentary,0.07976697813,10381
Non-Linear,0.0797081495,10381
Secret Service,0.07970257201,10381
Propaganda,0.07967513727,10381
Shopping,0.07922151045,10381
Fairy Tale,0.07917194875,10381
Giant Robots,0.07909929679,10381
Maze,0.0789568346,10381
Bad Science,0.07889960505,10381
Witches,0.07850334265,10381
Confusing,0.07840661786,10381
Surprise Ending,0.07826389558,10381
Single Father,0.07814734611,10381
Biography,0.07804853097,10381
Innocence Lost,0.07785751854,10381
Teenager,0.07757807533,10381
Comics,0.07747637029,10381
Switching Places,0.07706596667,10381
Caper,0.07697967441,10381
Good Romantic Comedies,0.07690662749,10381
Mission From God,0.0768221366,10381
Business,0.07679292939,10381
Heist,0.07673763607,10381
Awesome,0.07671094307,10381
Cars,0.07662530585,10381
Paris,0.0765670263,10381
Ireland,0.07650124265,10381
Swashbuckler,0.07646522493,10381
Cartoon,0.07640624217,10381
Weed,0.07639382526,10381
Australia,0.07598013679,10381
Mutants,0.0759697717,10381
Video Game,0.07583991908,10381
Afi 100 (Laughs),0.0755569502,10381
Ninja,0.0754202678,10381
Russian,0.07528743859,10381
Alone In The World,0.07526815336,10381
Jungle,0.07514652731,10381
Geek,0.07509101243,10381
Werewolf,0.07498048358,10381
Spelling Bee,0.07493342645,10381
Alternate Universe,0.07475418553,10381
Lyrical,0.07464821308,10381
Aliens,0.07450498025,10381
Jesus,0.07448117715,10381
Goretastic,0.07413587323,10381
Noir Thriller,0.07408310375,10381
Spies,0.07371333205,10381
Saturday Night Live,0.07324557364,10381
Wistful,0.07315847221,10381
Superhero,0.07314820345,10381
Aids,0.07300052018,10381
Cgi,0.07251341875,10381
Gothic,0.07228002119,10381
Racing,0.07218804547,10381
Assassins,0.07191824487,10381
Death Penalty,0.07164919565,10381
Political Corruption,0.07157480012,10381
Poland,0.07148608034,10381
Talking Animals,0.07142848473,10381
Literary Adaptation,0.07100570273,10381
Vampire Human Love,0.07099253444,10381
Jewish,0.07095458048,10381
Immigrants,0.0708311916,10381
Mars,0.07073960119,10381
Racism,0.07039390232,10381
Courtroom,0.07020739813,10381
Pg,0.07016583181,10381
Berlin,0.06972822464,10381
Lawyers,0.06969553993,10381
Conspiracy Theory,0.06954887776,10381
18th Century,0.06940717657,10381
Scifi Cult,0.06909649359,10381
Spoof,0.06908800694,10381
Author:Neil Gaiman,0.06895932954,10381
Glbt,0.068766063,10381
Gruesome,0.06868181293,10381
Ghosts/Afterlife,0.06852179944,10381
Space,0.0684789712,10381
19th Century,0.06847117811,10381
Understated,0.06822435218,10381
Motorcycle,0.06791260958,10381
Funniest Movies,0.06772830171,10381
Teenagers,0.0672614488,10381
Rags To Riches,0.06716469512,10381
Isolation,0.06712764666,10381
Musicians,0.0665367691,10381
Guilty Pleasure,0.06638453906,10381
Space Travel,0.06635946441,10381
France,0.06592945766,10381
Writer's Life,0.06583419709,10381
Voyeurism,0.06575704653,10381
70mm,0.0657459686,10381
Dragons,0.06558061844,10381
Judaism,0.06557042674,10381
Watch The Credits,0.06556911666,10381
War Movie,0.065393517,10381
Cloning,0.06521031693,10381
Southern Theme,0.06492366824,10381
Arms Dealer,0.06483064252,10381
Virginity,0.06477137077,10381
Money,0.06463491956,10381
Dinosaurs,0.06435946441,10381
Corny,0.06410288026,10381
Poker,0.06406260476,10381
Bullshit History,0.06372128889,10381
Japan,0.06349678258,10381
Corporate America,0.06335593873,10381
Psychiatrist,0.06312514209,10381
Latin America,0.06287031115,10381
Disney,0.06277972257,10381
Alien,0.06260737887,10381
Puppets,0.06253421636,10381
Sports,0.06247912533,10381
Undercover Cop,0.06247670745,10381
British Comedy,0.06214945574,10381
Over The Top,0.06209110876,10381
Sisters,0.0617110394,10381
Catholicism,0.06165226857,10381
Animal Movie,0.06164485117,10381
Dog,0.06156502264,10381
Oscar (Best Editing),0.06154798189,10381
1960s,0.06140479723,10381
Saturn Award (Best Special Effects),0.06129223582,10381
Screwball Comedy,0.06115767267,10381
Confrontational,0.0610698295,10381
Bad Script,0.06095698873,10381
Fascism,0.06075511993,10381
Espionage,0.06072453521,10381
Sappy,0.06044842501,10381
Stop Motion,0.06041315866,10381
Treasure Hunt,0.06034209614,10381
Francis Ford Copolla,0.06028978904,10381
Post Apocalyptic,0.06013910028,10381
Neo-Noir,0.06007050381,10381
Mafia,0.05991060591,10381
Geeks,0.05987452076,10381
Based On A Comic,0.05985685387,10381
Coen Bros,0.05984527502,10381
Hallucinatory,0.05968178403,10381
Post-Apocalyptic,0.05951546094,10381
Civil War,0.05931246508,10381
Steampunk,0.05924136403,10381
George Orwell,0.05915926211,10381
Ghosts,0.05865610249,10381
Mistaken Identity,0.05864318466,10381
Poverty,0.05861359214,10381
Computer Game,0.05860480686,10381
Best War Films,0.05860453714,10381
Unique,0.05852360081,10381
Mozart,0.05848153357,10381
Space Opera,0.05822221366,10381
Cheerleading,0.05789186976,10381
Devil,0.05772424622,10381
Firefly,0.05766649648,10381
Boston,0.0574825932,10381
Gypsy Accent,0.05747726616,10381
Bank Robbery,0.05742343705,10381
Beer,0.05732349485,10381
Kung Fu,0.05731304306,10381
Intelligent Sci-Fi,0.05727859551,10381
Fairy Tales,0.05722460264,10381
Police,0.05722243522,10381
Tom Clancy,0.05657507947,10381
Flashbacks,0.05653138426,10381
Bombs,0.0565109527,10381
Educational,0.05644840574,10381
Working Class,0.05621595222,10381
Rock And Roll,0.05619040555,10381
Unintentionally Funny,0.05597145747,10381
Oscar (Best Music - Original Song),0.05573678836,10381
World War Ii,0.05564241403,10381
Environment,0.05557487718,10381
Frightening,0.05531248435,10381
Saturn Award (Best Science Fiction Film),0.05526665061,10381
Mother-Son Relationship,0.05493904248,10381
Dancing,0.05480603988,10381
Dance,0.05469098353,10381
Nazis,0.05456486851,10381
Aardman Studios,0.05402857143,10381
Comic Book,0.05388379732,10381
Con Artists,0.05364359888,10381
Disability,0.05347756478,10381
Explosions,0.05338208265,10381
Father-Son Relationship,0.05322582603,10381
Environmental,0.05322522878,10381
Based On A Video Game,0.05307005105,10381
Holiday,0.05244914748,10381
Super-Hero,0.05236931895,10381
Canada,0.05225119931,10381
Free Speech,0.0521421154,10381
Las Vegas,0.05152608612,10381
Rats,0.05142769483,10381
Oscar (Best Animated Feature),0.05129642616,10381
Lions,0.05107029188,10381
Stranded,0.0509716405,10381
Pigs,0.05091622194,10381
View Askew,0.05087481938,10381
Slasher,0.05084034293,10381
Genocide,0.05081751276,10381
Nazi,0.05074984106,10381
Wizards,0.0507081206,10381
Con Men,0.05018064734,10381
Easily Confused With Other Movie(S) (Title),0.04976341393,10381
Military,0.04968667758,10381
Alien Invasion,0.04956873134,10381
Not As Good As The First,0.04955841441,10381
Photographer,0.049476929,10381
Boat,0.04905304884,10381
Gore,0.04898084,10381
Medieval,0.04895535112,10381
Court,0.04861129949,10381
Animated,0.04847452076,10381
Based On A Tv Show,0.04838320008,10381
Cross Dressing,0.04833503516,10381
Genetics,0.0481110972,10381
Robot,0.04793111454,10381
Travel,0.04775297178,10381
Nostalgia,0.04774795299,10381
Lesbian,0.04772205953,10381
Transgender,0.047591706,10381
Africa,0.04746822079,10381
Lynch,0.04743901358,10381
Hitchcock,0.04740831326,10381
Anti-Semitism,0.04738636933,10381
Homosexuality,0.04735688277,10381
Teleportation,0.04725541855,10381
Alcoholism,0.04718885464,10381
Bond,0.04709210095,10381
Muppets,0.04706929005,10381
Spanish Civil War,0.04692341778,10381
Father Son Relationship,0.04671973798,10381
Competition,0.04667541663,10381
Genius,0.04656656391,10381
Irish,0.04654459108,10381
Western,0.04622461227,10381
Deadpan,0.0462072151,10381
Moving,0.0461716405,10381
Germany,0.04611871689,10381
3d,0.04605048647,10381
Sword Fight,0.0460118582,10381
Italy,0.04595523553,10381
007,0.04594128697,10381
Japanese,0.04567678451,10381
Spain,0.04558818996,10381
007 (Series),0.04555928138,10381
Hostage,0.04552495906,10381
Astronauts,0.04541897698,10381
Afterlife,0.0453485117,10381
Israel,0.04517119738,10381
Rape,0.04513523745,10381
Wwii,0.04509856469,10381
Ocean,0.04487920239,10381
Marijuana,0.04462539254,10381
Robots,0.04453351315,10381
